id,name,age,salary
2,Николаева Николай,33,74410
3,Колесникова Савелий,31,77670
4,Филиппова Мирослава,59,82194
5,Лазарев Элина,31,58558
6,Колесникова Сергей,42,23512
7,Кузнецова Дарья,33,79300
8,Мальцев Арсений,61,91292
11,Окулов Ангелина,67,88911
12,Сафонов Мирослава,37,15796
13,Афанасьев Адам,45,25215
14,Смирнов Злата,20,20978
17,Сафонов Святослав,19,13898
18,Моисеева Савелий,50,59925
19,Родионова Вадим,39,24975
22,Гаврилов Аглая,55,94246
23,Дмитриева Валерия,52,89077
24,Сафонов Арина,41,38478
25,Панкова Леонид,34,86685
26,Колесникова Мирослав,58,84845
27,Кравцова Артём,59,46585
29,Степанов Анастасия,41,71867
31,Родионова Леонид,51,26735
32,Алешин Наталья,44,92707
33,Михайлов Вячеслав,35,87375
35,Крылова Даниил,47,93086
36,Родионова Тигран,64,66290
37,Дьяконов Ульяна,44,81129
38,Орлов Михаил,20,41958
39,Горячева Лев,65,27760
42,Еремина Юлия,52,62145
44,Антонов Никита,70,70007
46,Терентьев Святослав,73,76956
48,Исаков Нина,66,94514
51,Колесникова Глеб,55,28654
53,Васильев Марьяна,61,28163
55,Синицын Фёдор,29,95294
58,Шевцова Агата,65,71742
59,Филиппова Таисия,54,75485
60,Соловьев Михаил,69,88705
